Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Bayer 04 Leverkusen,30,24.9,14,€4.43m,€132.90m,Bundesliga,2009
,VfB Stuttgart,34,25.7,14,€3.67m,€124.65m,Bundesliga,2009
,Borussia Dortmund,34,24.5,13,€3.22m,€109.40m,Bundesliga,2009
,TSG 1899 Hoffenheim,33,23.8,16,€2.95m,€97.50m,Bundesliga,2009
,Hertha BSC,33,25.6,21,€1.88m,€61.98m,Bundesliga,2009
,Eintracht Frankfurt,36,26.1,19,€1.64m,€59.20m,Bundesliga,2009
,1.FC Köln,33,25.3,18,€1.79m,€59.13m,Bundesliga,2009
,Borussia Mönchengladbach,30,26.0,15,€1.83m,€55.00m,Bundesliga,2009
,Hannover 96,39,26.6,22,€1.30m,€50.88m,Bundesliga,2009
,1.FSV Mainz 05,41,26.5,22,€1.19m,€48.78m,Bundesliga,2009
,1.FC Nuremberg,33,25.3,16,€1.44m,€47.50m,Bundesliga,2009
,VfL Bochum,32,27.1,16,€1.25m,€39.90m,Bundesliga,2009
,SC Freiburg,32,25.3,20,€1.23m,€39.45m,Bundesliga,2009
,Bayern Munich,31,26.2,17,€9.97m,€308.98m,Bundesliga,2010
,Borussia Dortmund,31,25.2,15,€5.48m,€169.95m,Bundesliga,2010
,FC Schalke 04,36,25.7,23,€4.37m,€157.18m,Bundesliga,2010
,SV Werder Bremen,38,25.5,18,€3.98m,€151.13m,Bundesliga,2010
,Bayer 04 Leverkusen,30,25.6,12,€4.92m,€147.68m,Bundesliga,2010
,VfL Wolfsburg,34,26.2,25,€4.27m,€145.10m,Bundesliga,2010
,TSG 1899 Hoffenheim,34,24.3,19,€3.71m,€126.13m,Bundesliga,2010
,Hamburger SV,30,26.4,20,€3.74m,€112.13m,Bundesliga,2010
,VfB Stuttgart,33,25.8,17,€3.19m,€105.25m,Bundesliga,2010
,1.FC Köln,38,25.7,19,€1.82m,€69.28m,Bundesliga,2010
,Borussia Mönchengladbach,34,26.3,19,€1.96m,€66.55m,Bundesliga,2010
,Hannover 96,28,26.5,14,€2.33m,€65.35m,Bundesliga,2010
,1.FSV Mainz 05,28,27.4,15,€2.16m,€60.60m,Bundesliga,2010
,1.FC Nuremberg,32,25.0,14,€1.88m,€60.20m,Bundesliga,2010
,SC Freiburg,32,25.7,19,€1.87m,€59.95m,Bundesliga,2010
,1.FC Kaiserslautern,30,25.4,18,€1.68m,€50.50m,Bundesliga,2010
,Eintracht Frankfurt,31,25.7,15,€1.53m,€47.58m,Bundesliga,2010
,FC St. Pauli,30,27.3,2,€1.02m,€30.50m,Bundesliga,2010
