Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,1.FSV Mainz 05,34,26.5,13,€4.20m,€142.88m,Bundesliga,2023
,FC Augsburg,38,25.6,24,€3.71m,€140.80m,Bundesliga,2023
,SV Werder Bremen,35,26.4,19,€3.86m,€134.93m,Bundesliga,2023
,1.FC Köln,33,26.1,11,€2.47m,€81.45m,Bundesliga,2023
,1.FC Heidenheim 1846,28,26.8,5,€2.37m,€66.45m,Bundesliga,2023
,VfL Bochum,34,28.3,15,€1.90m,€64.53m,Bundesliga,2023
,SV Darmstadt 98,34,27.0,14,€1.14m,€38.70m,Bundesliga,2023
,Bayern Munich,43,24.6,22,€22.18m,€953.55m,Bundesliga,2024
,Bayer 04 Leverkusen,34,25.1,25,€18.33m,€623.35m,Bundesliga,2024
,RB Leipzig,37,23.9,23,€13.88m,€513.70m,Bundesliga,2024
,Borussia Dortmund,43,24.1,23,€11.82m,€508.28m,Bundesliga,2024
,Eintracht Frankfurt,33,24.6,24,€13.07m,€431.25m,Bundesliga,2024
,VfB Stuttgart,39,24.2,18,€9.36m,€365.23m,Bundesliga,2024
,VfL Wolfsburg,39,25.5,25,€7.60m,€296.30m,Bundesliga,2024
,Borussia Mönchengladbach,31,25.7,17,€6.05m,€187.50m,Bundesliga,2024
,TSG 1899 Hoffenheim,48,25.1,27,€3.90m,€187.10m,Bundesliga,2024
,SC Freiburg,31,27.2,13,€6.01m,€186.20m,Bundesliga,2024
,1.FSV Mainz 05,30,27.2,14,€5.84m,€175.13m,Bundesliga,2024
,FC Augsburg,36,26.0,20,€4.41m,€158.88m,Bundesliga,2024
,1.FC Union Berlin,31,27.9,17,€4.39m,€136.05m,Bundesliga,2024
,SV Werder Bremen,33,25.9,17,€4.00m,€132.00m,Bundesliga,2024
,1.FC Heidenheim 1846,31,27.2,6,€2.34m,€72.53m,Bundesliga,2024
,FC St. Pauli,38,26.5,21,€1.73m,€65.78m,Bundesliga,2024
,VfL Bochum,33,27.0,16,€1.73m,€57.10m,Bundesliga,2024
,Holstein Kiel,30,26.6,12,€1.57m,€47.13m,Bundesliga,2024
,Bayern Munich,25,26.7,12,€38.07m,€951.65m,Bundesliga,2025
,Borussia Dortmund,28,26.1,15,€17.88m,€500.50m,Bundesliga,2025
,Bayer 04 Leverkusen,26,25.9,22,€16.41m,€426.75m,Bundesliga,2025
,Eintracht Frankfurt,28,25.7,18,€13.71m,€383.90m,Bundesliga,2025
,RB Leipzig,29,24.6,20,€12.63m,€366.25m,Bundesliga,2025
,VfB Stuttgart,32,24.5,16,€10.61m,€339.43m,Bundesliga,2025
,VfL Wolfsburg,29,25.7,22,€8.69m,€251.90m,Bundesliga,2025
,SV Werder Bremen,31,24.9,19,€5.74m,€177.80m,Bundesliga,2025
,TSG 1899 Hoffenheim,33,25.1,21,€5.23m,€172.55m,Bundesliga,2025
,SC Freiburg,27,27.3,11,€6.03m,€162.70m,Bundesliga,2025
,1.FSV Mainz 05,29,26.5,13,€5.43m,€157.58m,Bundesliga,2025
,Borussia Mönchengladbach,30,25.5,15,€5.14m,€154.18m,Bundesliga,2025
,FC Augsburg,29,25.4,18,€5.22m,€151.38m,Bundesliga,2025
,1.FC Union Berlin,28,26.2,17,€4.45m,€124.70m,Bundesliga,2025
,Hamburger SV,30,25.6,24,€3.55m,€106.45m,Bundesliga,2025
,1.FC Köln,29,25.9,12,€3.66m,€106.28m,Bundesliga,2025
,FC St. Pauli,29,25.6,23,€2.21m,€64.08m,Bundesliga,2025
,1.FC Heidenheim 1846,27,26.5,5,€2.10m,€56.80m,Bundesliga,2025
