Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Real Madrid,32,25.7,16,€14.12m,€451.70m,La_Liga,2009
,Valencia CF,34,26.2,10,€7.06m,€240.00m,La_Liga,2009
,Sevilla FC,36,26.0,18,€6.06m,€218.30m,La_Liga,2009
,Atlético de Madrid,37,24.6,16,€5.70m,€210.80m,La_Liga,2009
,Villarreal CF,31,27.0,13,€5.28m,€163.70m,La_Liga,2009
,Athletic Bilbao,36,25.7,1,€2.80m,€100.80m,La_Liga,2009
,Real Zaragoza,38,26.8,18,€2.30m,€87.25m,La_Liga,2009
,Getafe CF,29,26.9,9,€2.67m,€77.30m,La_Liga,2009
,Deportivo de La Coruña,31,26.4,8,€2.45m,€75.90m,La_Liga,2009
,RCD Espanyol Barcelona,34,25.2,13,€2.09m,€71.00m,La_Liga,2009
,Racing Santander,33,25.9,8,€1.98m,€65.50m,La_Liga,2009
,RCD Mallorca,28,26.9,11,€2.33m,€65.10m,La_Liga,2009
,UD Almería,25,26.9,13,€2.55m,€63.70m,La_Liga,2009
,CA Osasuna,27,27.8,7,€2.22m,€60.00m,La_Liga,2009
,Málaga CF,37,25.8,13,€1.58m,€58.60m,La_Liga,2009
,Sporting Gijón,35,25.9,3,€1.58m,€55.20m,La_Liga,2009
,Real Valladolid CF,34,25.9,8,€1.49m,€50.50m,La_Liga,2009
,CD Tenerife,24,27.4,4,€1.42m,€34.00m,La_Liga,2009
,Xerez CD,28,27.4,8,€1.16m,€32.50m,La_Liga,2009
,FC Barcelona,35,25.1,12,€17.28m,€604.70m,La_Liga,2010
,Real Madrid,38,24.7,16,€13.66m,€519.00m,La_Liga,2010
,Atlético de Madrid,31,25.4,10,€6.03m,€187.00m,La_Liga,2010
,Valencia CF,32,26.9,13,€5.52m,€176.60m,La_Liga,2010
,Sevilla FC,36,26.1,20,€4.88m,€175.60m,La_Liga,2010
,Villarreal CF,34,25.8,13,€5.02m,€170.60m,La_Liga,2010
,Athletic Bilbao,30,25.6,1,€3.73m,€112.00m,La_Liga,2010
,RCD Espanyol Barcelona,35,24.6,12,€2.24m,€78.40m,La_Liga,2010
,UD Almería,30,26.2,16,€2.45m,€73.60m,La_Liga,2010
,Málaga CF,37,26.9,18,€1.92m,€71.05m,La_Liga,2010
,Real Sociedad,26,26.3,6,€2.57m,€66.70m,La_Liga,2010
,Getafe CF,29,25.8,7,€2.29m,€66.40m,La_Liga,2010
,Deportivo de La Coruña,33,27.0,10,€1.93m,€63.70m,La_Liga,2010
,Racing Santander,30,26.4,12,€1.98m,€59.30m,La_Liga,2010
,CA Osasuna,29,28.5,6,€2.00m,€57.90m,La_Liga,2010
,Real Zaragoza,30,26.6,16,€1.90m,€57.00m,La_Liga,2010
,RCD Mallorca,28,26.0,12,€1.92m,€53.70m,La_Liga,2010
,Sporting Gijón,33,26.3,5,€1.62m,€53.40m,La_Liga,2010
,Hércules CF,32,27.3,12,€1.62m,€51.70m,La_Liga,2010
,Levante UD,33,27.2,7,€1.13m,€37.40m,La_Liga,2010
,FC Barcelona,35,25.3,11,€17.66m,€618.20m,La_Liga,2011
,Real Madrid,33,25.2,16,€16.34m,€539.20m,La_Liga,2011
,Atlético de Madrid,37,24.9,17,€5.68m,€210.00m,La_Liga,2011
,Valencia CF,28,26.0,13,€6.46m,€181.00m,La_Liga,2011
,Athletic Bilbao,30,25.7,1,€4.81m,€144.20m,La_Liga,2011
,Villarreal CF,35,26.0,12,€3.91m,€137.00m,La_Liga,2011
,Sevilla FC,34,25.6,14,€3.91m,€133.00m,La_Liga,2011
,Málaga CF,32,27.4,18,€3.79m,€121.30m,La_Liga,2011
,RCD Espanyol Barcelona,37,24.5,19,€2.19m,€81.20m,La_Liga,2011
,Real Sociedad,26,25.8,8,€2.87m,€74.70m,La_Liga,2011
,Getafe CF,34,26.9,7,€2.09m,€70.95m,La_Liga,2011
,RCD Mallorca,32,25.2,13,€1.94m,€62.20m,La_Liga,2011
,Real Zaragoza,33,26.6,16,€1.85m,€61.00m,La_Liga,2011
,Granada CF,32,26.8,14,€1.89m,€60.60m,La_Liga,2011
,Sporting Gijón,33,26.4,8,€1.62m,€53.40m,La_Liga,2011
,Real Betis Balompié,36,26.2,6,€1.46m,€52.70m,La_Liga,2011
,Rayo Vallecano,37,26.3,6,€1.28m,€47.30m,La_Liga,2011
,CA Osasuna,32,27.5,8,€1.39m,€44.40m,La_Liga,2011
,Racing Santander,38,24.6,9,€1.12m,€42.60m,La_Liga,2011
,Levante UD,34,27.9,9,€1.18m,€40.25m,La_Liga,2011
,FC Barcelona,30,26.3,9,€19.55m,€586.60m,La_Liga,2012
,Real Madrid,34,25.9,19,€17.13m,€582.40m,La_Liga,2012
,Atlético de Madrid,33,24.9,15,€8.09m,€267.00m,La_Liga,2012
,Valencia CF,30,25.6,14,€5.76m,€172.90m,La_Liga,2012
,Sevilla FC,34,25.3,14,€4.26m,€144.80m,La_Liga,2012
,Málaga CF,33,27.2,21,€3.72m,€122.90m,La_Liga,2012
,Athletic Bilbao,35,24.2,1,€3.42m,€119.85m,La_Liga,2012
,Real Sociedad,26,25.5,8,€4.34m,€112.80m,La_Liga,2012
,Granada CF,31,27.2,14,€2.35m,€72.80m,La_Liga,2012
,Getafe CF,31,27.2,5,€2.20m,€68.30m,La_Liga,2012
,Real Betis Balompié,37,25.8,8,€1.79m,€66.20m,La_Liga,2012
,RCD Espanyol Barcelona,31,25.9,13,€2.07m,€64.10m,La_Liga,2012
,Rayo Vallecano,34,26.1,9,€1.46m,€49.75m,La_Liga,2012
,Celta de Vigo,30,26.8,10,€1.64m,€49.10m,La_Liga,2012
,RCD Mallorca,36,25.3,13,€1.31m,€47.10m,La_Liga,2012
,Real Zaragoza,37,26.5,12,€1.26m,€46.80m,La_Liga,2012
,CA Osasuna,31,28.2,6,€1.50m,€46.40m,La_Liga,2012
