Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Angers SCO,38,25.8,20,€1.36m,€51.65m,Ligue_1,2024
,Paris Saint-Germain,24,23.6,14,€47.81m,€1.15bn,Ligue_1,2025
,Olympique Marseille,29,26.7,25,€13.72m,€397.85m,Ligue_1,2025
,AS Monaco,28,24.9,19,€12.44m,€348.30m,Ligue_1,2025
,RC Strasbourg Alsace,28,22.5,22,€9.94m,€278.30m,Ligue_1,2025
,LOSC Lille,27,26.3,19,€7.99m,€215.60m,Ligue_1,2025
,Olympique Lyon,27,25.2,23,€6.69m,€180.75m,Ligue_1,2025
,OGC Nice,29,25.7,20,€6.12m,€177.60m,Ligue_1,2025
,Stade Rennais FC,22,25.6,8,€7.83m,€172.30m,Ligue_1,2025
,Paris FC,28,28.7,14,€3.67m,€102.80m,Ligue_1,2025
,RC Lens,28,25.5,11,€3.26m,€91.35m,Ligue_1,2025
,FC Toulouse,24,23.7,16,€3.77m,€90.40m,Ligue_1,2025
,Stade Brestois 29,25,24.8,10,€3.55m,€88.70m,Ligue_1,2025
,FC Nantes,26,25.4,11,€3.22m,€83.60m,Ligue_1,2025
,AJ Auxerre,27,23.5,14,€2.66m,€71.85m,Ligue_1,2025
,FC Lorient,26,25.3,19,€2.54m,€65.95m,Ligue_1,2025
,FC Metz,28,24.9,22,€1.84m,€51.55m,Ligue_1,2025
,Le Havre AC,26,25.7,16,€1.78m,€46.25m,Ligue_1,2025
,Angers SCO,25,25.2,13,€1.31m,€32.65m,Ligue_1,2025
